"","nm","meaning","min","Q1","median","mean","Q3","max","NAs","variance","range","Prop_NAs"
"1338","cs07_1","Alcohol",0,0,0,0.2936,1,1,152,0.207548626660958,1,10.4
"1360","cs08_1","8. Marijuana?",0,0,0,0.1284,0,1,152,0.112029088254494,1,10.4
"1382","cs09_1","Cocaine",0,0,0,0.05887,0,1,152,0.0554453904990536,1,10.4
"1404","cs10_1","10. Opiates?",0,0,0,0.007645,0,1,152,0.00759261469059803,1,10.4
"1426","cs11_1","11. PCP?",0,0,0,0.0007645,0,1,152,0.000764525993883792,1,10.4
"1448","cs12_1","Amphetamines",0,0,0,0.01453,0,1,152,0.0143259419404805,1,10.4
"1470","cs13_1","13. Other?",0,0,0,0.006116,0,1,152,0.00608345090772107,1,10.4
"1492","cscigs_1","14. cigs/day in past week",0,0,10,11.78,20,99,180,196.013973318999,99,12.3
"1514","cs14_1","15. Clinician Drug Use Scale",1,1,1,1.258,1,5,152,0.388809141086925,4,10.4
"1536","cs15_1","16. Clinician Alcohol Use Scale",1,1,1,1.372,2,5,152,0.412717688101472,4,10.4
"1558","cs16_1","17. Clinician Global Impressions: Severity",1,3,4,3.765,4,7,160,0.912603778054125,6,11
"1580","b1_cgis_1","Phase 1 Baseline CGIS",1,3,4,3.959,4,7,154,0.881047684427312,6,10.5
"1602","b1_resp_1","Phase 1 Baseline CGIS Response",0,0,0,0.2741,1,1,154,0.199130450088891,1,10.5
"1624","c1_cgis_1","CFB1 in CGIS",-4,-1,0,-0.1975,0,3,164,0.673306639973307,7,11.2
"1646","cgisresp_1","CGIS Response",0,0,0,0.3815,1,1,160,0.235763605140049,1,11
"1667","e1_day","Day Discontinued from Phase 1/1A",1,57,152,230.4,494,646,0,38941.9320307585,645,0
"1668","comp1_1a","Completed Phase 1 and 1A",0,0,0,0.2541,1,1,0,0.189667815260969,1,0
"1670","comp_s","Completed Study",0,0,0,0.4829,1,1,0,0.249877942294873,1,0
"1671","es_day","Day Discontinued from Study",1,140.8,484.5,347,512,662,0,40003.650416874,661,0
"1673","tmdisc1","Number of months between phase start date and end date in Phase 1/1A",0.03571,2.036,5.214,8.149,17.57,23.07,0,49.8428247071779,23.035713713,0
"1674","censor1","Censored in Phase 1/1A",0,0,0,0.2541,1,1,0,0.189667815260969,1,0
"1676","dcr_eff1","patient discontinued phase 1/1A due to lack of efficacy",0,0,0,0.2329,0,1,0,0.178767592740383,1,0
"1677","dcr_tae1","patient discontinued phase 1/1A due to unacceptable side effects",0,0,0,0.1459,0,1,0,0.124691804294553,1,0
"1678","dcr_pat1","patient discontinued phase 1/1A due to patient/subject advocate's decision",0,0,0,0.3055,1,1,0,0.212307172298534,1,0
"1679","tmsucc1","Time (months) with Successful Treatment",0,0,1,3.805,6,19,0,31.9251241702423,19,0
"1680","compeff","Composite Ordinal Effectiveness Outcome",1,2,4,3.326,4,5,0,1.72228304242914,4,0
"1681","dcr_pgo1","P1 patient discontinued phase due to patient/subject advocate's decision AND the patient went on to the next phase",0,0,0,0.07192,0,1,0,0.0667913846038289,1,0
"1682","dcr_pst1","1/1A patient discontinued phase due to patient/subject advocate's decision AND the patient terminated the study",0,0,0,0.2336,0,1,0,0.179133296403053,1,0
"1683","b1_day","Baseline Day - Phase 1/1A",1,1,1,1,1,1,0,0,0,0
"1684","enddy_1","Number of days from study baseline to end date of phase 1/1A",1,57,146,228.2,492,646,0,39076.7742453548,645,0
"1685","enddy_s","Number of days from study baseline to end date of study",-2,141.5,489,349,511,662,57,40669.2189479849,664,3.9
"1686","rtd01","Day of phase discontinuation",1,57,151.5,229.5,492,646,0,38975.630567005,645,0
"1687","rtd02","Did pt successfully complete the medicat",0,0,0,0.2541,1,1,0,0.189667815260969,1,0
"1690","rtd05a","Inadequate therapeutic effect",0,0,0,0.2425,0,1,0,0.183802003624175,1,0
"1693","rtd06a","Unacceptable side effects",0,0,0,0.1658,0,1,0,0.138374003586619,1,0
"1696","rtd07a","Refusal/failure to take assigned antipsychotics",0,0,0,0.3034,1,1,0,0.21150299980283,1,0
"1698","rtd08","Patient withdrawn by subject advocate",0,0,0,0.00411,0,1,0,0.00409550545973504,1,0
"1701","rtd11","CLINICIAN: Which medication do you think was used",1,2,3,30.3,95,99,16,1791.83697158697,98,1.1
"1702","rtd12","pt: Which medication do you think you were taken",1,95,95,74,95,99,33,1504.15916245598,98,2.3
"1703","rand1_1a","Randomized in Phase 1/1A",1,1,1,1,1,1,0,0,0,0
"1704","ittpop_1","Phase 1/1A ITT Population",0,1,1,0.9808,1,1,0,0.0188231759414874,1,0
"1705","phase1a","""rand in Phase 1a (TD)1=yes,0=no""",0,0,0,0.1582,0,1,0,0.133277155492127,1,0
"1706","treat11a","Treatment for Phase 1/1A",1,2,3,2.793,4,5,0,1.95170082717568,4,0
"1707","zpr_cort","Zipras Cohort: random aft ZPR added 1=y",0,0,1,0.6089,1,1,0,0.238303116227102,1,0
"1708","randreg1","P1 Randomized Dosing Regimen",1,1,2,1.673,2,2,0,0.22012215159567,1,0
"1709","set1","""Set1(OPQR): excl P1a(TD),Ziprasidone""",0,0,1,0.737,1,1,0,0.193970349366708,1,0
"1710","set2","""Set2(OQR): excl Perphenazine, Ziprasidone""",0,0,1,0.6945,1,1,0,0.212307172298534,1,0
"1711","set3","""Set3(ZvsOQR): only ZPRcohort, excl Perph""",0,0,1,0.5055,1,1,0,0.250141305266321,1,0
"1712","set4","""Set4(ZvsP) ex P1a(TD),only Zcort,ZPR,Perph""",0,0,0,0.2082,0,1,0,0.164976949871839,1,0
"1713","panss_general","PANSS General score",16,30,37,37.02,43,70,13,86.5930379160012,54,0.9
"1714","panss_negative","PANSS Negative score",7,16,20,20.17,25,41,13,41.0844490580502,34,0.9
"1715","panss_positive","PANSS Positive score",7,14,18,18.47,22,38,13,31.7414873716881,31,0.9
"1716","panss_total","PANSS Total score",31,64,75,75.66,87,140,13,308.18234225244,109,0.9
"1717","pos_p1","P1. Delusions",1,2,3,3.334,4,7,12,2.10105113647211,6,0.8
"1718","pos_p2","P2. Conceptual Organization",1,2,3,2.906,4,7,12,1.76173221792468,6,0.8
"1719","pos_p3","P3. Hallucinatory Behavior",1,2,3,3.176,4.25,7,12,2.43268364343068,6,0.8
"1720","pos_p4","P4. Excitement",1,1,2,1.967,3,6,13,1.12476330577596,5,0.9
"1721","pos_p5","P5. Grandiosity",1,1,1,2.07,3,7,13,1.78419795427369,6,0.9
"1722","pos_p6","P6. Suspiciousness/Persecution",1,2,3,3.226,4,7,13,1.84585267750036,6,0.9
"1723","pos_p7","P7. Hostility",1,1,1,1.79,2,7,13,1.04988429344444,6,0.9
"1724","neg_n1","N1. Blunted Affect",1,2,3,3.041,4,7,13,1.96168349453871,6,0.9
"1725","neg_n2","N2. Emotional Withdrawl",1,2,3,3.12,4,7,13,1.49399482498726,6,0.9
"1726","neg_n3","N3. Poor Rapport",1,1,2,2.388,3,7,13,1.61376281924447,6,0.9
"1727","neg_n4","N4. Passive/Apathetic Social Withdrawl",1,2,3,3.169,4,7,13,1.78113251913388,6,0.9
"1728","neg_n5","N5. Difficulty in Abstract Thinking",1,3,4,3.526,4,7,14,2.0571302770559,6,1
"1729","neg_n6","N6. Lack of Spontaneity and Flow of Conversation",1,1,3,2.61,4,6,13,2.00580109942735,5,0.9
"1730","neg_n7","N7. Stereotyped Thinking",1,1,2,2.321,3,7,13,1.42708862042037,6,0.9
"1731","gps_g1","G1. Somatic Concern",1,1,2,2.302,3,6,13,1.77940815212664,5,0.9
"1732","gps_g2","G2. Anxiety",1,2,3,2.894,4,7,13,1.56542892673448,6,0.9
"1733","gps_g3","G3. Guilt Feelings",1,1,2,2.372,4,6,13,1.99997897113406,5,0.9
"1734","gps_g4","G4. Tension",1,1,2,2.393,3,6,13,1.30238840124223,5,0.9
"1735","gps_g5","G5. Mannerisms and Posturing",1,1,1,1.742,2,7,13,0.999539276664363,6,0.9
"1736","gps_g6","G6. Depression",1,1,3,2.78,4,7,13,1.93783867227564,6,0.9
"1737","gps_g7","G7. Motor Retardation",1,1,2,2.055,3,6,13,1.3102952548364,5,0.9
"1738","gps_g8","G8. Uncooperativeness",1,1,1,1.5,2,7,13,0.784059354929979,6,0.9
"1739","gps_g9","G9. Unusual Thought Content",1,2,3,2.697,3,7,13,1.57248506711554,6,0.9
"1740","gps_g10","G10. Disorientation",1,1,1,1.753,3,5,13,0.929064855890138,4,0.9
"1741","gps_g11","G11. Poor Attention",1,1,2,2.283,3,6,13,1.36779295360937,5,0.9
"1742","gps_g12","G12. Lack of Judgement and Insight",1,2,3,2.871,4,7,13,1.88024443189085,6,0.9
"1743","gps_g13","G13. Disturbance of Volition",1,1,2,2.239,3,7,13,1.39091705928515,6,0.9
"1744","gps_g14","G14. Poor Impulse Control",1,1,1,1.84,3,6,13,1.03466321793265,5,0.9
"1745","gps_g15","G15. Preoccupation",1,1,2,2.346,3,6,13,1.45728129262527,5,0.9
"1746","gps_g16","G16. Active Social Avoidance",1,2,3,2.952,4,7,13,1.83659041791048,6,0.9
"1747","b1_ppos","Phase 1 Baseline PANSS Positive Scale Score",7,14,18,18.47,22,38,13,31.7414873716881,31,0.9
"1748","b1_pneg","Phase 1 Baseline PANSS Negative Scale Score",7,16,20,20.17,25,41,13,41.0844490580502,34,0.9
"1749","b1_ppsy","Phase 1 Baseline PANSS  Psychopathology Score",16,30,37,37.02,43,70,13,86.5930379160012,54,0.9
"1750","cut_pans","Cutpoints for Derived PANSS Total Score",1,2,3,2.816,3,5,13,0.826487959540462,4,0.9
"1751","cut_pos","Cutpoints for Derived PANSS Positive Scale",1,2,2,2.205,3,4,13,0.644156221533368,3,0.9
"1752","cut_neg","Cutpoints for Derived PANSS Negative Scale",1,2,2,2.408,3,4,13,0.792139218739396,3,0.9
"1753","cut_gen","Cutpoints for Derived PANSS General Psyc",1,2,2,2.251,3,4,13,0.811850912987332,3,0.9
"1754","b1_panss","Phase 1 Baseline PANSS Total",31,64,75,75.66,87,140,13,308.18234225244,109,0.9
"1755","othmed0a","Did the patient take any medications",0,1,1,0.9061,1,1,11,0.0851072753546931,1,0.8
"1756","flag","Baseline Medication Flag",0,1,1,0.8544,1,1,11,0.124499083002566,1,0.8
"1757","priflag","Prior Baseline Medication Flag",0,0,0,0.04348,0,1,11,0.0416166226279126,1,0.8
"1758","conflag","Continuous Baseline Medication Flag",0,1,1,0.8454,1,1,11,0.130781754610724,1,0.8
"1759","postflag","Post-Baseline and in P1 Medication Flag",0,0,0,0.4479,1,1,11,0.24745585639172,1,0.8
"1760","postflg2","Post-Baseline Medication Flag",0,0,1,0.5721,1,1,11,0.244967952750802,1,0.8
"1761","any_psy","Any Psychotropic Con Med at Baseline",0,1,1,0.8061,1,1,11,0.156427179727684,1,0.8
"1762","anyppsy","Any Psychotropic Con Med prior to Baseline",0,0,0,0.03658,0,1,11,0.0352634127556059,1,0.8
"1763","anycpsy","Any Psychotropic Con Med ongoing at Baseline",0,1,1,0.7916,1,1,11,0.165094807239895,1,0.8
"1764","anynpsy","Any Psychotropic New in P1 Med at baseline",0,0,0,0.2912,1,1,11,0.206559867921866,1,0.8
"1765","anypsych","Any Conventional Antipsychotic at baseline",0,0,0,0.1573,0,1,11,0.132682474863594,1,0.8
"1766","anyppsyc","Any Prior Conv Antipsy at baseline",0,0,0,0.01104,0,1,11,0.0109277116243246,1,0.8
"1767","anycpsyc","Any Continuous Conv Antipsy at baseline",0,0,0,0.1484,0,1,11,0.126449370684297,1,0.8
"1768","anynpsyc","Any New in P1 Conv Antipsy at baseline",0,0,0,0.01932,0,1,11,0.018963354418555,1,0.8
"1769","anypsyat","Any Atypical Antipsychotic at Baseline",0,0,1,0.6135,1,1,11,0.237275469079457,1,0.8
"1770","anyppsya","Any Prior Atypical Antipsychotic at baseline",0,0,0,0.02415,0,1,11,0.0235874235994342,1,0.8
"1771","anycpsya","Any Cont Atypical Antipsychotic at baseline",0,0,1,0.5894,1,1,11,0.242179784877359,1,0.8
"1772","anynpsya","Any New in P1 Atypical Antipsychotic at baseline",0,0,0,0.04141,0,1,11,0.0397206684739714,1,0.8
"1773","antipsy","Taking antipsychotic medication at baseline",1,1,2,1.88,2,3,13,0.421214875819767,2,0.9
"1774","antichol","Taking anticholinergic meds at baseline",0,0,0,0.1707,0,1,13,0.14165808784522,1,0.9
"1775","statin","Statin Use at Baseline",0,0,0,0.1037,0,1,13,0.0929810424773534,1,0.9
"1776","oth_chol","Other Chol and Trig Reducer Use at baseline",0,0,0,0.02972,0,1,13,0.0288535157874211,1,0.9
"1777","inc_lit","Patient took at least one LITHIUM at baseline",0,0,0,0.03382,0,1,11,0.032695438652681,1,0.8
"1778","incc_lit","Incidence flag for patient continuously",0,0,0,0.03382,0,1,11,0.032695438652681,1,0.8
"1779","incn_lit","Patient newly took in P1 at least 1 LITHIUM",0,0,0,0.007591,0,1,11,0.00753901528583248,1,0.8
"1780","n_med","Number of medication taking at baseline",0,1,2,2.961,4,16,11,7.12005231270184,16,0.8
"1781","n_pmed","Number of med previously taking at baseline",0,0,0,0.05107,0,4,11,0.0692132886463898,4,0.8
"1782","n_cmed","Number of med continuously taking at baseline",0,1,2,2.91,4,16,11,7.09277402209182,16,0.8
"1783","n_nmed","Number of med newly taken in P1",0,0,0,1.2,2,14,11,3.88256904170908,14,0.8
"1784","n_psy","Number of Psychotropic med taking at baseline",0,1,1,1.685,2,8,11,1.75863045194056,8,0.8
"1785","n_psypri","Number of Psychotropic med previously taking at baseline",0,0,0,0.03934,0,2,11,0.0433409972204111,2,0.8
"1786","n_psycon","Number of Psychotropic meds continuosly taking at baseline",0,1,1,1.646,2,8,11,1.76890806767098,8,0.8
"1787","n_psynew","Number of New in P1 Psychotropic meds since baseline",0,0,0,0.4776,1,8,11,0.844973100137645,8,0.8
"1788","RISPERIDONE",NA,0,0,0,0.2547,1,1,11,0.189938574517004,1,0.8
"1789","QUETIAPINE",NA,0,0,0,0.1097,0,1,11,0.0977574551319447,1,0.8
"1790","OLANZAPINE",NA,0,0,0,0.2871,1,1,11,0.204812616054509,1,0.8
"1791","LORAZEPAM",NA,0,0,0,0.1636,0,1,11,0.136903332075083,1,0.8
"1792","HALOPERIDOL",NA,0,0,0,0.07522,0,1,11,0.0696136409564226,1,0.8
"1793","CLONAZEPAM",NA,0,0,0,0.1228,0,1,11,0.107827268949056,1,0.8
"1794","fluoxetine",NA,0,0,0,0.07453,0,1,11,0.0690264575683745,1,0.8
"1795","sertraline",NA,0,0,0,0.09179,0,1,11,0.0834200763338405,1,0.8
"1796","valproate",NA,0,0,0,0.1263,0,1,11,0.110420026766412,1,0.8
"1797","citalopram",NA,0,0,0,0.09179,0,1,11,0.0834200763338405,1,0.8
"1798","amfebutamone",NA,0,0,0,0.08282,0,1,11,0.0760097457190899,1,0.8
"1799","ziprasidone",NA,0,0,0,0.0559,0,1,11,0.0528121890120449,1,0.8
"1800","ALBUMIN",NA,2.4,4.1,4.3,4.261,4.5,5.2,9,0.0935009957460966,2.8,0.6
"1801","ALKALINE PHOSPHATASE",NA,30,74,90,95.17,109,400,9,1110.69584258181,370,0.6
"1802","ALT (SGPT)",NA,4,17,25,35.01,40,490,10,1287.30151876443,486,0.7
"1803","AST (SGOT)",NA,8,18,23,28.78,30,549,10,715.513938744913,541,0.7
"1804","BASOPHILS",NA,0,0.2,0.3,0.4084,0.5,3,37,0.0976445041428096,3,2.5
"1805","BICARBONATE",NA,13,23,26,25.49,28,35,9,10.5838788944604,22,0.6
"1806","BUN",NA,3,10,12,12.73,15,36,9,17.3838323154067,33,0.6
"1807","CALCIUM",NA,7.5,9.1,9.3,9.339,9.6,11.6,9,0.167582318971458,4.1,0.6
"1808","CHLORIDE",NA,86,102,105,104.3,107,118,9,12.0870134746548,32,0.6
"1809","CPK",NA,20,84,123,183.9,206.5,2820,9,41268.1032106276,2800,0.6
"1810","CREATININE",NA,0.3,0.8,0.9,0.9524,1.1,2.4,9,0.0420133083010528,2.1,0.6
"1811","EOSINOPHILS",NA,0,1.3,2.2,2.667,3.4,22.4,37,4.23891518977458,22.4,2.5
"1812","GGT",NA,5,19,29,45.28,45.75,920,10,3978.93696009138,915,0.7
"1813","GLUCOSE",NA,36,82,90,100.2,102,526,12,1839.90573323737,490,0.8
"1814","HDL CHOLESTEROL",NA,8,34,41,43.49,50,116,9,182.894257943392,108,0.6
"1815","HEMATOCRIT",NA,27.7,40.02,43.1,42.76,45.6,55.5,46,17.1970509243827,27.8,3.2
"1816","HEMOGLOBIN",NA,7.7,13.45,14.5,14.38,15.4,18.8,29,2.17765311557764,11.1,2
"1818","LYMPHOCYTES",NA,4,23.8,29.4,30.2,36,73,37,83.6433891078158,69,2.5
"1819","MCH",NA,20,30,31,30.59,32,38,37,4.62035595644391,18,2.5
"1820","MCHC",NA,30,33,34,33.69,34,35,39,0.732551962018416,5,2.7
"1821","MCV",NA,65,88,91,90.69,94,111,47,31.1817341601358,46,3.2
"1822","MONOCYTES",NA,0,5,6.3,6.53,7.85,23,37,5.73856019206269,23,2.5
"1823","NEUTROPHILS",NA,14,53.55,61,60.08,67.1,86,37,105.365505266602,72,2.5
"1824","PHOSPHORUS",NA,1.9,3.3,3.7,3.695,4.1,6.4,9,0.356185612775969,4.5,0.6
"1825","PLATELET COUNT",NA,36,212,252,256.2,292.2,614,76,4381.82963859249,578,5.2
"1826","POTASSIUM",NA,3.1,4.1,4.3,4.367,4.6,7.7,10,0.134056424168868,4.6,0.7
"1827","PROLACTIN",NA,1.2,6.7,12.55,20.88,24.8,410,32,748.203194673356,408.8,2.2
"1828","RBC",NA,2.8,4.4,4.7,4.729,5,7.8,36,0.219240704477801,5,2.5
"1829","SODIUM",NA,127,140,142,142,144,155,9,9.81165331875757,28,0.6
"1830","TOTAL BILIRUBIN",NA,0.1,0.3,0.4,0.4468,0.5,6.3,9,0.0992362746262982,6.2,0.6
"1831","TOTAL CHOLESTEROL",NA,91,166,197,201,226.5,780,9,2512.69131871005,689,0.6
"1832","TOTAL PROTEIN",NA,5.2,7.2,7.5,7.503,7.8,9.5,9,0.282901143088001,4.3,0.6
"1833","TRIGLYCERIDES",NA,25,102,160,202.6,252,1900,9,24808.9678357375,1875,0.6
"1834","TSH",NA,0.03,1.03,1.53,2.161,2.21,106.4,10,26.820732534923,106.4,0.7
"1835","URIC ACID",NA,1.5,4.9,5.9,5.975,6.9,18.6,9,2.66585280068443,17.1,0.6
"1836","WBC",NA,1.9,5.5,7,7.301,8.6,21,30,5.84764100280405,19.1,2.1
"1841","aims_facial1_date1","Facial & Oral - Muscles of Facial Expression - Date 1",0,0,0,0.2362,0,3,8,0.385923168784518,3,0.5
"1842","aims_facial2_date1","Facial & Oral - Lips and Perioral Area - Date 1",0,0,0,0.2674,0,4,9,0.449826279141615,4,0.6
"1843","aims_facial3_date1","Facial & Oral - Jaw - Date 1",0,0,0,0.2741,0,4,8,0.481672182004241,4,0.5
"1844","aims_facial4_date1","Facial & Oral - Tongue - Date 1",0,0,0,0.2968,0,4,8,0.49418706202429,4,0.5
"1845","aims_extrem5_date1","Extremity - Upper - Date 1",0,0,0,0.2679,0,4,8,0.449885896114203,4,0.5
"1846","aims_extrem6_date1","Extremity - Lower - Date 1",0,0,0,0.1928,0,4,8,0.323918338829685,4,0.5
"1847","aims_global8_date1","Global Judgement - Severity of abnormal movements overall - Date 1",0,0,0,0.4959,1,4,8,0.750499797802598,4,0.5
"1848","aims_global9_date1","Global Judgement - Incapacitation due to abnormal movements - Date 1",0,0,0,0.1351,0,3,9,0.210706528196963,3,0.6
"1849","aims_global10_date1","Global Judgement - Patient's awareness of abnormal movements - Date 1",0,0,0,0.2984,0,4,9,0.488128520164453,4,0.6
"1850","aims_dental11_date1","Dental Status - Current problems with teeth and/or dentures - Date 1",0,0,0,0.2014,0,1,10,0.160936674519883,1,0.7
"1851","aims_dental12_date1","Dental Status - Dentures worn - Date 1",0,0,0,0.1027,0,1,9,0.0922065638441978,1,0.6
"1852","aims07","""7. Neck, shoulders, hips""",0,0,0,0.09504,0,4,8,0.177039488298181,4,0.5
"1853","bar01","1. Objective",0,0,0,0.2493,0,3,8,0.319606692828922,3,0.5
"1854","bar02","2. Subjective awareness of restlessness",0,0,0,0.4883,1,3,8,0.529842153127035,3,0.5
"1855","bar03","3. Subjective Distress related to restle",0,0,0,0.3119,0,3,11,0.39019575321521,3,0.8
"1856","brsgca","4. Global clinical assessment of akathis",0,0,0,0.5413,1,5,8,0.781888808516213,5,0.5
"1857","sa01","1. Gait",0,0,0,0.314,1,4,11,0.349534256812662,4,0.8
"1858","sa02","2. Arm dropping",0,0,0,0.2534,0,4,8,0.310635963038695,4,0.5
"1859","sa03","3. Shoulder shaking",0,0,0,0.1709,0,3,9,0.198353573041184,3,0.6
"1860","sa04","4. Elbow rigidity",0,0,0,0.1894,0,3,8,0.223926028026648,3,0.5
"1861","sa05","5. Fixation of position or wrist rigidit",0,0,0,0.1233,0,3,8,0.150884352579109,3,0.5
"1862","sa06","6. Tremor",0,0,0,0.2452,0,4,8,0.278922297342196,4,0.5
"1863","criteria","Flag Patients meeting AIMS criteria",0,0,0,0.146,0,1,8,0.124773833188093,1,0.5
"1864","facial","Movement Severity Score-facial and oral",0,0,0,1.075,1,13,9,4.61159438199577,13,0.6
